n_run,missing_percent,stress,loss
12, 80, 1733.815607684152, 3.839500904083252
12, 85, 1849.6328391665718, 3.8263237476348877
12, 90, 2614.5626124379037, 3.9250736236572266
12, 95, 3207.564606095127, 2.2742815017700195
13, 0, 1221.323415452647, 4.141770839691162
13, 5, 1224.936011656231, 4.133492469787598
13, 10, 1231.9826779926912, 4.123305320739746
13, 15, 1261.63357975929, 4.1891984939575195
13, 20, 1248.1019462716156, 4.120450019836426
13, 25, 1264.6764106830683, 4.114861011505127
13, 30, 1256.4122358460936, 4.046999454498291
13, 35, 1284.5693887501027, 4.110599517822266
13, 40, 1318.043107454316, 4.138346195220947
13, 45, 1296.1699198092965, 4.029453277587891
13, 50, 1334.2336575259426, 4.082176208496094
13, 55, 1336.8335159158628, 3.9150781631469727
13, 60, 1351.2516889704627, 3.894716739654541
13, 65, 1409.3608098251973, 3.9712328910827637
13, 70, 1475.3055758005005, 3.891629695892334
13, 75, 1637.2383675969481, 4.097139835357666
13, 80, 1626.9184243224663, 3.669908046722412
13, 85, 2171.330951304011, 4.36220645904541
13, 90, 2563.6364919558773, 3.985464096069336
13, 95, 2896.5156366878796, 1.7957597970962524
14, 0, 1240.8967840393896, 4.220116138458252
14, 5, 1251.569252584182, 4.227199077606201
14, 10, 1237.937675716276, 4.150396823883057
14, 15, 1232.8323408479414, 4.086429595947266
14, 20, 1243.4441011421031, 4.130978584289551
14, 25, 1258.233871218214, 4.137413024902344
14, 30, 1260.3718399065067, 4.1125617027282715
14, 35, 1260.7429397934761, 4.080509185791016
14, 40, 1324.079367843516, 4.088557720184326
14, 45, 1294.8926114985263, 3.953489065170288
14, 50, 1315.7916424618343, 3.9446723461151123
14, 55, 1606.9528573280172, 4.888754844665527
14, 60, 1374.5950186307157, 4.015888214111328
14, 65, 1376.0859153435872, 3.834573745727539
14, 70, 1595.4192239463027, 4.205898761749268
14, 75, 1523.7035854408882, 3.69138503074646
14, 80, 1596.2076084399375, 3.7298998832702637
14, 85, 1961.808995025345, 3.921231746673584
14, 90, 2779.2910802937677, 3.901249408721924
14, 95, 3017.942112343047, 2.0137877464294434
15, 0, 1218.2073665242885, 4.129363059997559
15, 5, 1224.6461047715106, 4.132418632507324
15, 10, 1231.959497839202, 4.116927623748779
15, 15, 1229.4257392518207, 4.0891828536987305
15, 20, 1234.3319840802849, 4.050647735595703
15, 25, 1238.7519463800243, 4.064493656158447
15, 30, 1249.9727825312964, 4.049724102020264
15, 35, 1273.2958890382736, 4.057816505432129
15, 40, 1264.4114423873084, 3.94284987449646
15, 45, 1287.2142721899108, 3.973362445831299
15, 50, 1293.077734096833, 3.875929594039917
15, 55, 1297.9930673057133, 3.7827272415161133
15, 60, 1364.0089808259418, 3.949573040008545
15, 65, 1413.2182898842736, 3.8987131118774414
15, 70, 1369.793683524324, 3.5866260528564453
15, 75, 1463.8103961406614, 3.6292972564697266
15, 80, 1972.6104412988157, 4.46102237701416
15, 85, 2082.4163155683773, 4.011246204376221
15, 90, 2353.041157726679, 3.4960837364196777
15, 95, 3122.4265653320354, 1.989723563194275
16, 0, 1222.6686959112428, 4.147125244140625
16, 5, 1225.7685653888593, 4.126796245574951
16, 10, 1227.7250550161143, 4.104013442993164
16, 15, 1235.3552851067718, 4.127962589263916
16, 20, 1245.9839045614635, 4.0843963623046875
16, 25, 1252.3991477402208, 4.080479145050049
16, 30, 1258.338834902429, 4.077376365661621
16, 35, 1281.142129596756, 4.050878047943115
16, 40, 1289.7270495780654, 4.050386428833008
16, 45, 1278.745526408134, 4.009099006652832
16, 50, 1288.5640919343082, 3.8928868770599365
16, 55, 1305.6244694014026, 3.7764477729797363
16, 60, 1408.0159125540545, 4.078894138336182
16, 65, 1368.884118666839, 3.795564651489258
16, 70, 1400.427818768662, 3.6808621883392334
16, 75, 1435.5729875286925, 3.4895243644714355
16, 80, 1684.5824394355943, 3.867769241333008
